,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,5,1,1,1,1,1,3201,192,780,151,96,INVOICE
1,5,1,1,1,2,1,458,254,395,291,35,CN
2,5,1,1,1,2,2,3566,417,45,62,93,#
3,5,1,1,1,2,3,3639,415,325,64,96,2206578
4,5,1,2,1,1,1,332,570,649,82,96,CORPORATE
5,5,1,2,1,2,1,3032,779,153,75,96,Date:
6,5,1,2,1,2,2,3516,783,124,66,96,May
7,5,1,2,1,2,3,3668,784,84,60,96,"14,"
8,5,1,2,1,2,4,3779,784,148,52,96,2020
9,5,1,2,1,3,1,3059,938,126,53,88,P.O:
10,5,1,2,1,3,2,3614,939,321,52,96,1742-2020
11,5,1,2,1,4,1,341,1011,326,67,96,Corporate
12,5,1,2,1,4,2,691,1011,234,67,96,Gadget
13,5,1,2,1,4,3,948,1011,124,54,96,Sdn
14,5,1,2,1,4,4,1101,1012,125,53,96,Bhd
15,5,1,2,1,5,1,345,1099,122,60,96,"123,"
16,5,1,2,1,5,2,493,1098,160,53,95,Jalan
17,5,1,2,1,5,3,678,1098,121,53,96,Alor
18,5,1,2,1,5,4,821,1099,89,60,96,"56,"
19,5,1,2,1,5,5,935,1098,211,53,96,Taman
20,5,1,2,1,5,6,1174,1098,263,66,96,"Bahagia,"
21,5,1,2,1,5,7,1467,1098,170,53,95,Kuala
22,5,1,2,1,5,8,1663,1098,229,66,95,Lumpur
23,5,1,2,1,5,9,2904,1088,281,78,96,Deadline:
24,5,1,2,1,5,10,3571,1092,106,53,96,Jun
25,5,1,2,1,5,11,3703,1093,50,60,95,"3,"
26,5,1,2,1,5,12,3780,1093,148,52,95,2020
27,5,1,2,1,6,1,340,1184,203,52,96,53300.
28,5,1,2,1,7,1,2867,1251,319,81,96,Balance:
29,5,1,2,1,7,2,3592,1256,345,72,90,"$6,201.93"
30,5,1,2,1,8,1,343,1375,83,51,87,Bill
31,5,1,2,1,8,2,450,1375,116,53,87,To::
32,5,1,2,1,9,1,341,1486,296,54,92,Gardanie
33,5,1,2,1,9,2,662,1487,282,53,96,Bakeries
34,5,1,2,1,9,3,968,1487,133,65,95,(KL)
35,5,1,2,1,9,4,1125,1486,125,54,95,Sdn
36,5,1,2,1,9,5,1278,1487,125,53,96,Bhd
37,5,1,2,1,10,1,343,1572,90,53,96,Lot
38,5,1,2,1,10,2,455,1573,51,60,95,"3,"
39,5,1,2,1,10,3,531,1572,160,53,92,Jalan
40,5,1,2,1,10,4,721,1572,232,53,92,Pelabur
41,5,1,2,1,10,5,975,1572,147,61,93,"23/1,"
42,5,1,2,1,10,6,1151,1572,276,53,92,Kawasan
43,5,1,2,1,10,7,1455,1572,136,61,89,"Miel,"
44,5,1,2,1,10,8,1618,1573,187,52,95,40300
45,5,1,2,1,10,9,1830,1571,155,54,96,Shah
46,5,1,2,1,11,1,339,1658,171,61,96,"Alam,"
47,5,1,2,1,11,2,537,1657,273,67,96,Selangor
48,5,1,2,1,12,1,318,2011,123,74,91,ltem
49,5,1,2,1,12,2,2554,2011,253,75,94,Quantity
50,5,1,2,1,12,3,3268,2011,135,74,96,Rate
51,5,1,2,1,12,4,3700,2016,234,51,96,Amount
52,5,1,2,1,13,1,316,2196,217,53,44,als
53,5,1,2,1,13,2,2553,2197,32,52,18,€
54,5,1,2,1,13,3,3199,2193,32,63,93,$
55,5,1,2,1,13,4,3252,2197,151,52,96,80.00
56,5,1,2,1,13,5,3689,2193,248,63,10,eRe
57,5,1,2,1,14,1,314,2306,323,78,96,Computer
58,5,1,2,1,14,2,2553,2321,34,51,16,5
59,5,1,2,1,14,3,3103,2316,301,64,89,"$3,000.00"
60,5,1,2,1,14,4,3593,2316,34,63,93,$
61,5,1,2,1,14,5,3646,2320,291,60,96,"15,000.00"
62,5,1,2,1,15,1,313,2430,267,76,96,Speaker
63,5,1,2,1,15,2,2558,2443,67,52,97,10
64,5,1,2,1,15,3,3199,2439,205,63,67,$75.00
65,5,1,2,1,15,4,3689,2439,34,63,93,$
66,5,1,2,1,15,5,3738,2443,199,52,96,750.00
67,5,1,2,1,16,1,2917,2894,268,77,94,Subtotal:
68,5,1,2,1,16,2,3593,2897,34,63,93,$
69,5,1,2,1,16,3,3646,2901,291,60,96,"15,990.00"
70,5,1,2,1,17,1,2707,3055,295,53,96,Discounts
71,5,1,2,1,17,2,3029,3055,156,66,94,(5%):
72,5,1,2,1,17,3,3689,3052,248,63,69,$799.50
73,5,1,2,1,18,1,2888,3210,113,53,93,Tax
74,5,1,2,1,18,2,3027,3210,158,66,4,ache
75,5,1,2,1,18,3,3689,3207,248,63,96,$911.43
76,5,1,2,1,19,1,2901,3357,284,78,96,Shipping:
77,5,1,2,1,19,2,3689,3361,29,63,93,$
78,5,1,2,1,19,3,3742,3365,195,52,96,100.00
79,5,1,2,1,20,1,3029,3519,156,53,96,Sum:
